key,en,fr,zh_Hans_CN,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
FOXLAB_MASK_HISTORY,Transformation history,Historique des transformations,变身历史,変身履歴,변신 기록,變身歷史,История трансформаций,Historia transformacji,Historial de transformaciones,Histórico de transformações,Transformations-Verlauf,Dönüşüm geçmişi,Cronologia delle trasformazioni
CHARACTER_FOXLAB_REFACTOR,Refactor,Refacteur,重构师,リファクター,리팩터,重構師,Рефактор,Refaktor,Refactorizador,Refatorador,Umgestalter,Yeniden Yapılandırıcı,Ristrutturatore
EFFECT_FOXLAB_REACTOR,"Spawns a nuclear reactor that spawns {2} projectiles, dealing {0} ({1}) damage and slowing enemies around them","Engendre un réacteur nucléaire qui produit {2} projectiles, infligeant {0} ({1}) dégâts et ralentissant les ennemis autour",生成一个核反应堆，产生{2}投射物，使投射物周围敌人减速，造成{0}（{1}）伤害,核反応炉を生成し、{2}個の投射物を発射して周囲の敵を減速させ、{0}（{1}）ダメージを与える,핵반응로를 생성하여 {2}개의 투사체를 발사하고 주변 적을 감속시키며 {0} ({1}) 피해를 줍니다,生成一個核反應堆，產生{2}投射物，使投射物周圍敵人減速，造成{0}（{1}）傷害,"Создаёт ядерный реактор который выпускает {2} снарядов, наносящих {0} ({1}) урон и замедляющих врагов вокруг","Tworzy reaktor jądrowy, który generuje {2} pociski, zadając {0} ({1}) obrażeń i spowalniając wrogów wokół nich","Genera un reactor nuclear que produce {2} proyectiles, infligiendo {0} ({1}) de daño y ralentizando a los enemigos cercanos",Gera um reator nuclear que gera {2} projéteis causando {0} ({1}) de dano e desacelerando inimigos ao redor,"Erschafft einen Kernreaktor der {2} Projektile erzeugt, {0} ({1}) Schaden verursacht und Feinde in der Nähe verlangsamt","{2} mermi üreten bir nükleer reaktör oluşur, {0} ({1}) hasar verir ve etrafındaki düşmanları yavaşlatır",Genera un reattore nucleare che produce {2} proiettili infliggendo {0} ({1}) danni e rallentando i nemici circostanti
ITEM_FOXLAB_REACTOR,Reactor,Réacteur,反应堆,リアクター,반응로,反應堆,Реактор,Reaktor,Reactor,Reator,Reaktor,Reaktör,Reattore
FOXLAB_MODIFICATION_GAINED,Modifications gained: {0},Modifications obtenues : {0},已获得修改：{0},獲得した変動：{0},획득한 수정치: {0},已獲得修改：{0},Получено модификаций: {0},Zdobyte modyfikacje: {0},Modificaciones obtenidas: {0},Modificações obtidas: {0},Erhaltene Modifikationen: {0},Kazanılan değişiklikler: {0},Modifiche ottenute: {0}
FOXLAB_BOSSES_INVOKED,Bosses spawned: {0},Boss engendrés : {0},生成的头目：{0},生成されたボス：{0},소환된 보스: {0},生成的頭目：{0},Порождено боссов: {0},Przywołani bossowie: {0},Jefes generados: {0},Bosses gerados: {0},Erschaffene Bosse: {0},Oluşturulan patronlar: {0},Boss generati: {0}
FOXLAB_BOSSES_RESURRECTED,Bosses resurrected: {0},Boss ressuscités : {0},满血复活的头目：{0},完全回復で復活したボス：{0},완전 회복으로 부활한 보스: {0},滿血復活的頭目：{0},Воскрешено боссов: {0},Wskrzeszeni bossowie: {0},Jefes resucitados con vida completa: {0},Bosses ressuscitados com vida cheia: {0},Wiederbelebte Bosse: {0},Tam HP dirilen patronlar: {0},Boss resuscitati a piena salute: {0}
EFFECT_FOXLAB_MUTATE_ALIVE_ENEMY,{0} chance to mutate an alive target you hit (8% of base chance for Elites),{0} chance de muter une cible vivante touchée (8% de la chance de base pour les Élites),击中后存活的目标有{0}几率异变（精英怪异变几率乘以8%）,攻撃を受けた生存ターゲットが{0}の確率で変異する（エリートは基本確率の8%）,적중 후 생존한 대상이 {0} 확률로 돌연변이 됩니다 (엘리트는 기본 확률의 8%),擊中後存活的目標有{0}機率異變（精英怪異變機率乘以8%）,{0} шанс мутировать живую цель при попадании (8% от базового шанса для Элитников),{0} szans na mutację żywego celu,{0} probabilidad de mutar un objetivo vivo que golpeas (8% de la probabilidad base para Élites),{0} chance de mutar um alvo vivo que você atinge (8% da chance base para Élites),{0} Chance ein lebendes getroffenes Ziel zu mutieren (8% der Basis-Chance für Eliten),Vurduğun hayatta hedefi mutasyona uğratma şansı {0} (Elitler için temel şansın %8'i),{0} probabilità di mutare un bersaglio vivo che colpisci (8% della probabilità base per gli Elite)
EFFECT_FOXLAB_MUTATE_ALIVE_ENEMY_ITEM,{0} chance to mutate an alive target it hits (8% of base chance for Elites),{0} chance de muter une cible vivante qu'il touche (8% de la chance de base pour les Élites),被它击中后存活的目标有{0}几率异变（精英怪异变几率乘以8%）,これが命中した生存ターゲットが{0}の確率で変異する（エリートは基本確率の8%）,이것이 적중 후 생존한 대상이 {0} 확률로 돌연변이 됩니다 (엘리트는 기본 확률의 8%),被它擊中後存活的目標有{0}機率異變（精英怪異變機率乘以8%）,{0} шанс мутировать живую цель при попадании (8% от базового шанса для Элитников),{0} szans na mutację żywego celu,{0} probabilidad de mutar un objetivo vivo que golpea (8% de la probabilidad base para Élites),{0} chance de mutar um alvo vivo que ele atinge (8% da chance base para Élites),{0} Chance ein lebendes Ziel zu mutieren das es trifft (8% der Basis-Chance für Eliten),Vurduğu hayatta hedefi mutasyona uğratma şansı {0} (Elitler için temel şansın %8'i),{0} probabilità di mutare un bersaglio vivo che colpisce (8% della probabilità base per gli Elite)
EFFECT_FOXLAB_GAIN_STAT_ON_MUTATE,Same chance to increase [color=#FF8C00]Primary Stat or Modification[/color] or boost a random enemy when an ememy mutates,Même chance d'augmenter une [color=#FF8C00]Stat principale ou Modification[/color] ou de booster un ennemi aléatoire quand un ennemi mute,敌人异变时，你有相同几率提升随机[color=#FF8C00]主属性或修改[/color]或增强一个随机敌人,敵が変異した時、同じ確率でランダムな[color=#FF8C00]プライマリステータスまたは変動[/color]が上昇するか、ランダムな敵が強化される,적이 돌연변이 시 동일한 확률로 무작위 [color=#FF8C00]주요 스탯 또는 수정치[/color]를 증가시키거나 무작위 적을 강화합니다,敵人異變時，你有相同機率提升隨機[color=#FF8C00]主屬性或修改[/color]或增強一個隨機敵人,Такой же шанс увеличить [color=#FF8C00]Основную характеристику или Модификацию[/color] или усилить случайного врага когда враг мутирует,Taka sama szansa na zwiększenie [color=#FF8C00]Statystyki Głównej lub Modyfikacji[/color] lub wzmocnienie losowego wroga,Misma probabilidad de aumentar [color=#FF8C00]Estadística Primaria o Modificación[/color] o potenciar a un enemigo aleatorio cuando un enemigo muta,Mesma chance de aumentar [color=#FF8C00]Stat Primária ou Modificação[/color] ou fortalecer um inimigo aleatório quando um inimigo sofre mutação,Gleiche Chance [color=#FF8C00]Primären Stat oder Modifikation[/color] zu erhöhen oder einen zufälligen Feind zu verstärken wenn ein Feind mutiert,"Bir düşman mutasyona uğradığında, [color=#FF8C00]Birincil İstatistik veya Değişikliği[/color] artırma veya rastgele bir düşmanı güçlendirme şansı aynı",Stessa probabilità di aumentare [color=#FF8C00]Stat Primaria o Modifica[/color] o potenziare un nemico casuale quando un nemico muta
EFFECT_FOXLAB_GAIN_STAT_QUERY,[color=#FF8C00]Stat[/color] Modifications:,[color=#FF8C00]Stat[/color] Modifications :,[color=#FF8C00]属性[/color]的修改：,[color=#FF8C00]ステータス[/color]の変動：,[color=#FF8C00]스탯[/color] 수정치:,[color=#FF8C00]屬性[/color]的修改：,Модификации [color=#FF8C00]Характеристик[/color]:,Modyfikacje [color=#FF8C00]Statystyk[/color]:,Modificaciones de [color=#FF8C00]Estadística[/color]:,Modificações de [color=#FF8C00]Stat[/color]:,[color=#FF8C00]Stat[/color]-Modifikationen:,[color=#FF8C00]İstatistik[/color] Değişiklikleri:,Modifiche delle [color=#FF8C00]Stat[/color]:
ITEM_FOXLAB_REFACTOR_MUTATION,Refactor Mutation,Mutation du Refacteur,重构师的异变,リファクターの変異,리팩터 돌연변이,重構師的異變,Мутация Рефактора,Mutacja Refaktora,Mutación del Refactorizador,Mutação do Refatorador,Mutation des Umgestalters,Yeniden Yapılandırıcı Mutasyon,Mutazione del Ristrutturatore
FOXLAB_RESURRECT,Resurrect!,Résurrection !,满血复活！,完全回復で復活！,완전 회복 부활!,滿血復活！,Воскрешение!,Wskrzeszenie!,¡Resucitar!,Ressurreição!,Auferstehung!,Diril!,Resurrezione!
CHARACTER_FOXLAB_GEEK,Geek,Geek,技术宅,オタク,덕후,技術宅,Гик,Freak Komputerowy,Nerd Tecnológico,Nerd,Nerd,Teknik Tutkunu,Nerd
ITEM_FOXLAB_TRACKER,Tracker,Traqueur,追踪器,トラッカー,트래커,追蹤器,Трекер,Tracker,Rastreador,Tracker,Tracker,İzleyici,Tracker
EFFECT_FOXLAB_ASSEMBLE_TRACKER_ON_HURT,Assemble idle {2} when you take damage,Assemble les {2} inactifs quand vous subissez des dégâts,受伤时集结空闲{2},ダメージを受けた時、待機中の{2}を集結させる,피해를 입을 때 대기 중인 {2}을(를) 집결시킵니다,受傷時集結閒置{2},Собрать неактивные {2} при получении урона,Zmobilizuj bezczynne {2},Reúne {2} inactivos al recibir daño,Agrupa {2} ociosos quando você sofre dano,Versammle inaktive {2} wenn du Schaden nimmst,Hasar aldığında boştaki {2}'yi toplar,Raduna {2} inattivi quando subisci danni
EFFECT_FOXLAB_TRACKER,"Spawns a tracker that tracks a target, dealing {0} ({1}) damage; Base tracking range ({5}) is derived from your best-base-range [color=#FF8C00]Melee[/color] weapon; You can get close to guide it when it's idle","Génère un traqueur qui verrouille un ennemi, infligeant {0} ({1}) dégâts ; La portée de pistage de base ({5}) est dérivée de votre arme [color=#FF8C00]Mêlée[/color] avec la meilleure portée de base ; Vous pouvez vous approcher pour le guider quand il est inactif",生成一个追踪器锁定敌人，造成{0}（{1}）伤害；初始追踪范围（{5}）基于初始范围最长的[color=#FF8C00]近战[/color]武器；它空闲时，你可贴近引导,敵をロックオンするトラッカーを生成し、{0}（{1}）ダメージを与える；基本追跡範囲（{5}）は基本範囲が最も長い[color=#FF8C00]近接[/color]武器に基づく；アイドル時に近づいて誘導できる,적을 잠그는 추적기를 생성하여 {0}({1}) 피해를 입힘; 기본 추적 범위({5})는 기본 범위가 가장 긴 [color=#FF8C00]근거리[/color] 무기에서 파생됨; 유휴 상태일 때 가까이 가서 유도할 수 있음,生成一個追蹤器鎖定敵人，造成{0}（{1}）傷害；初始追蹤範圍（{5}）基於初始範圍最長的[color=#FF8C00]近距離[/color]武器；它空閒時，你可貼近引導,"Создаёт трекер, который захватывает врага, нанося {0} ({1}) урона; Базовая дальность отслеживания ({5}) определяется вашим оружием [color=#FF8C00]ближнего боя[/color] с наибольшей базовой дальностью; Вы можете подойти близко, чтобы направлять его, когда он простаивает","Tworzy tracker, który namierza wroga, zadając {0} ({1}) obrażeń; Bazowy zasięg namierzania ({5}) pochodzi od twojej broni [color=#FF8C00]Wręcz[/color] o największym bazowym zasięgu; Możesz podejść, by go nakierować, gdy jest bezczynny","Genera un rastreador que bloquea a un enemigo, infligiendo {0} ({1}) daño; El alcance de rastreo base ({5}) se deriva de tu arma [color=#FF8C00]Cuerpo a cuerpo[/color] con el mejor alcance base; Puedes acercarte para guiarlo cuando está inactivo","Gera um rastreador que trava em um inimigo, causando {0} ({1}) de dano; O alcance de rastreamento base ({5}) é derivado da sua arma [color=#FF8C00]Corpo a corpo[/color] com o melhor alcance base; Você pode se aproximar para guiá-lo quando está ocioso","Erzeugt einen Tracker, der einen Feind anvisiert und {0} ({1}) Schaden verursacht; Die Basis-Verfolgungsreichweite ({5}) wird von deiner [color=#FF8C00]Nahkampf[/color]-Waffe mit der besten Basisreichweite abgeleitet; Du kannst dich nähern, um ihn zu lenken, wenn er inaktiv ist","Bir düşmanı kilitleyen bir izleyici oluşturur, {0} ({1}) hasar verir; Temel izleme menzili ({5}), en iyi temel menzile sahip [color=#FF8C00]Yakın Saldırı[/color] silahından türetilir; Boştayken yaklaşıp onu yönlendirebilirsiniz","Genera un localizzatore che blocca un nemico, infliggendo {0} ({1}) danni; La portata di tracciamento base ({5}) è derivata dalla tua arma [color=#FF8C00]Corpo a corpo[/color] con la migliore portata base; Puoi avvicinarti per guidarlo quando è inattivo"
STAT_FOXLAB_PRIMARY_DAMAGE,Melee/Ranged/Elemental Damage,Dégâts de Mêlée/À distance/Élémentaires,近战/远程/元素伤害,近接/遠距離/元素ダメージ,근거리/원거리/원소 피해,近距離/範圍/屬性傷害,Ближний/Дальний/Элементальный урон,Obrażenia Wręcz/Dystans/Żywiołowe,Daño Cuerpo a Cuerpo/A Distancia/Elemental,Dano Corpo a Corpo/à Distância/Elemental,Nahkampf-/Fernkampf-/Elementarschaden,Yakın Saldırı/Menzilli Saldırı/Elemental Hasar,Danno Corpo a Corpo/Distanza/Elementale
CHARACTER_FOXLAB_MNEMOSYNE,Mnemosyne,Mnemosyne,孟婆,ムネモシュネ,망각의 신,孟婆,Мнемозина,Mnemozyne,Mnemosyne,Mnemosyne,Mnemosyne,Mnemosyne,Mnemosine
FOXLAB_EVER_IN_MEMORY,Ever in memory: {0},Jadis en mémoire : {0},昔日之物：{0},記憶に残るもの：{0},기억 속의 것: {0},昔日之物：{0},Было в памяти: {0},Kiedyś w pamięci: {0},Recuerdos del pasado: {0},No passado: {0},Einst im Gedächtnis: {0},Hafızadakiler: {0},Cose del passato: {0}
FOXLAB_WEAPON_EFFECT,Weapon effect,Effet d'arme,武器效果,武器効果,무기 효과,武器效果,Эффект оружия,Efekt broni,Efecto de arma,Efeito da arma,Waffeneffekt,Silah etkisi,Effetto dell'arma
FOXLAB_PREVIOUS_REMEMBERED_NAMES,Memory,Mémoire,记忆,記憶,기억,記憶,Память,Pamięć,Memoria,Memória,Erinnerung,Hafıza,Memoria
EFFECT_FOXLAB_REMEMBER_SHOP_ITEMS,"During a wave, you are [color=#FF8C00]treated as having[/color] every {2} and {3} currently displayed in the shop (not for those in your [color=#FF8C00]last[/color] Memory; weapon unique effects cannot work: Taser, Harpoon Gun, Rail Gun, etc)","Pendant une vague, vous êtes [color=#FF8C00]considéré comme possédant[/color] tous les {2} et {3} actuellement affichés en boutique (sauf ceux de votre [color=#FF8C00]dernière[/color] Mémoire ; les effets uniques des armes ne fonctionnent pas : Taser, Fusil harpon, Canon à rails, etc)",敌袭期间，你[color=#FF8C00]视为拥有[/color]商店当前展示的所有{2}和{3}（不与上[color=#FF8C00]一[/color]次的记忆重复，武器专属效果如电击枪、鱼叉枪、磁轨炮无法生效）,ウェーブ中、ショップに現在表示されているすべての{2}と{3}を[color=#FF8C00]所持しているものとして扱われる[/color]（前回の[color=#FF8C00]記憶[/color]のものは除く；武器固有効果は適用されない：テイザー、ハープーンガン、レールガンなど）,웨이브 동안 현재 상점에 진열된 모든 {2} 및 {3}을(를) [color=#FF8C00]보유한 것으로 간주[/color]합니다 (이전 [color=#FF8C00]기억[/color]에 있던 것은 제외,敵襲期間，你[color=#FF8C00]視為擁有[/color]商店目前展示的所有{2}和{3}（不與上[color=#FF8C00]一[/color]次的記憶重複，武器專屬效果如電擊槍、魚叉槍、磁軌砲無法生效）,"Во время волны вы [color=#FF8C00]считаетесь владельцем[/color] всех {2} и {3} отображённых в магазине (кроме тех что в вашей [color=#FF8C00]последней[/color] Памяти; уникальные эффекты оружия не работают: Тазер, Гарпунная пушка, Рельсотрон и т.д.)","Podczas fali jesteś [color=#FF8C00]traktowany jako posiadacz[/color] wszystkich {2} i {3} aktualnie wyświetlanych w sklepie (nie dotyczy tych z twojej [color=#FF8C00]ostatniej[/color] Pamięci; unikalne efekty broni nie działają: Paralizator, Harpun, Działo Szynowe itp.)","Durante una oleada, [color=#FF8C00]se te trata como si tuvieras[/color] todos los {2} y {3} actualmente en la tienda (no para los de tu [color=#FF8C00]última[/color] Memoria; los efectos únicos de armas no funcionan: Taser, Arpón, Cañón de Riel, etc)",Durante uma onda você é [color=#FF8C00]tratado como tendo[/color] cada {2} e {3} atualmente exibidos na loja (não para aqueles na sua [color=#FF8C00]última[/color] Memória; efeitos únicos de armas não funcionam: Taser Harpoon Gun Rail Gun etc.),"Während einer Welle [color=#FF8C00]giltst du als Besitzer[/color] aller {2} und {3} die aktuell im Laden angezeigt werden (nicht für die in deiner [color=#FF8C00]letzten[/color] Erinnerung; einzigartige Waffeneffekte funktionieren nicht: Taser, Harpunenkanone, Rail Gun, usw.)","Bir hücum sırasında, dükkânda şu anda sergilenen her {2} ve {3}'e [color=#FF8C00]sahip olarak kabul edilirsin[/color] ([color=#FF8C00]son[/color] Hafızandakiler için değil; silaha özgü etkiler çalışmaz: Elektro Tabanca, Zıpkına Benzeyen Tabanca, Ray Silahı vb.)",Durante un'onda [color=#FF8C00]viene considerato come se tu avessi[/color] ogni {2} e {3} attualmente esposti nel negozio (non per quelli nella tua [color=#FF8C00]ultima[/color] Memoria; gli effetti unici delle armi non funzionano: Taser Harpoon Gun Rail Gun ecc.)
FOXLAB_EFFECT_REMEMBERED_WEAPON,Weapon effects in memory:,Effets d'arme en mémoire :,记忆中的武器效果：,記憶内の武器効果：,기억 속의 무기 효과:,記憶中的武器效果：,Эффекты оружия в памяти:,Efekty broni w pamięci:,Efectos de armas en memoria:,Efeitos das armas na memória:,Waffeneffekte in der Erinnerung:,Hafızadaki silah etkileri:,Effetti delle armi in memoria:
CHARACTER_FOXLAB_SNOWBALL,Snowball,Boule de Neige,雪球,雪玉,눈덩이,雪球,Снежок,Śnieżka,Bola de nieve,Bola de Neve,Schneeball,Kartopu,Palla di neve
EFFECT_FOXLAB_BUY_ITEM_INCREASE_TIER,"Each time you buy something of tier {0}/{1}, things on the next page of [color=#FF8C00]the shop of current wave[/color] {2}/{3} tier (Max: {4})","Chaque fois que vous achetez un objet de rang {0}/{1}, les objets de la page suivante de [color=#FF8C00]la boutique de la vague actuelle[/color] {2}/{3} rang(s) (Max : {4})",每次购买{0}/{1}级物品，[color=#FF8C00]本波商店[/color]下一页物品{2}/{3}等级（上限：{4}）,ティア{0}/{1}のアイテムを購入するたび、[color=#FF8C00]現在のウェーブのショップ[/color]の次ページのアイテムが{2}/{3}ティアになる（上限：{4}）,{0}/{1}등급 아이템을 구매할 때마다 [color=#FF8C00]현재 웨이브 상점[/color]의 다음 페이지 아이템 등급이 {2}/{3}됩니다 (최대: {4}),每次購買{0}/{1}級物品，[color=#FF8C00]本波商店[/color]下一頁物品{2}/{3}等級（上限：{4}）,"Каждый раз когда вы покупаете предмет ранга {0}/{1}, предметы на следующей странице [color=#FF8C00]магазина текущей волны[/color] {2}/{3} ранг (Макс: {4})","Za każdym razem, gdy kupisz coś poziomu {0}/{1}, rzeczy na następnej stronie [color=#FF8C00]sklepu obecnej fali[/color] {2}/{3} poziom (Maks: {4})","Cada vez que compras algo de nivel {0}/{1}, los objetos de la siguiente página de [color=#FF8C00]la tienda de la oleada actual[/color] {2}/{3} nivel (Máx: {4})",Cada vez que você compra algo de tier {0}/{1} os itens da próxima página [color=#FF8C00]da loja da onda atual[/color] {2}/{3} tier (Máx: {4}),"Jedes Mal wenn du etwas der Stufe {0}/{1} kaufst, werden Gegenstände auf der nächsten Seite von [color=#FF8C00]dem Laden der aktuellen Welle[/color] um {2}/{3} Stufe modifiziert (Max: {4})","Seviye {0}/{1} bir şey satın aldığında, [color=#FF8C00]geçerli dalganın dükkânının[/color] sonraki sayfasındaki eşyalar {2}/{3} seviye olur (Maks: {4})",Ogni volta che compri qualcosa di grado {0}/{1} le cose nella pagina successiva [color=#FF8C00]del negozio dell'onda corrente[/color] {2}/{3} gradi (Max: {4})
EFFECT_FOXLAB_NO_PETS,You can't have pets,Vous ne pouvez pas avoir de familiers,你无法拥有宠物,ペットを持てない,펫을 가질 수 없습니다,你無法擁有寵物,Вы не можете иметь питомцев,Nie możesz mieć zwierzaków,No puedes tener mascotas,Você não pode ter mascotes,Du kannst keine Haustiere haben,Evcil hayvanın olamaz,Non puoi avere mascotte
FOXLAB_BUY_ITEM_INCREASE_TIER_CURRENT,Tier modification next page,Modification de rang page suivante,下一页物品等级修正,次ページのアイテムティア修正,다음 페이지 아이템 등급 수정,下一頁物品等級修正,Модификация ранга на следующей странице,Modyfikacja poziomu na następnej stronie,Modificación de nivel en la próxima página,Modificação de tier na próxima página,Stufen-Modifikation nächste Seite,Sonraki sayfa seviye değişikliği,Modifica grado prossima pagina
CHARACTER_FOXLAB_GOAT_KEEPER,Goat Keeper,Gardien de chèvres,守萌员,ゴートキーパー,염소지기,守萌員,Хранитель коз,Strażnik Kóz,Cuidador de Cabras,Cuidador de Cabras,Ziegenhüter,Keçi Bekçisi,Guardiano di Capre
EFFECT_FOXLAB_MATERIALS_ON_SCAPEGOAT_HIT,Your scapegoat drops {0} materials or crates on taking damage,Votre bouc émissaire lâche {0} matériaux ou caisses en subissant des dégâts,你的替罪羔羊受伤时掉落{0}材料或箱子,身代わりヤギがダメージを受けると{0}のマテリアルまたはクレートをドロップする,희생양이 피해를 입을 때 {0}개의 재료 또는 상자를 떨어뜨립니다,你的替罪羔羊受傷時掉落{0}素材或箱子,Ваш козёл отпущения выбрасывает {0} материалов или ящиков при получении урона,Twoi kozły ofiarni upuszczają {0} materiałów lub skrzyń po otrzymaniu obrażeń,Tu chivo expiatorio suelta {0} materiales o cajas al recibir daño,Seu bode expiatório dropa {0} materiais ou caixas ao sofrer dano,Dein Sündenbock lässt {0} Materialien oder Kisten fallen wenn er Schaden nimmt,Kurban keçin hasar aldığında {0} malzeme veya sandık düşürür,Il tuo capro espiatorio lascia cadere {0} materiali o casse quando subisce danni
EFFECT_FOXLAB_SCAPEGOAT_NO_HEAL,Your scapegoats can't heal in anyway and {0} chance for them to change movement behavior on taking damage,Vos boucs émissaires ne peuvent pas être soignés et ont {0} chance de changer de comportement de déplacement en subissant des dégâts,你的替罪羔羊无法治疗，受伤时有{0}概率改变运动行为,身代わりヤギは治療できず、ダメージを受けた時{0}の確率で移動行動が変化する,희생양은 어떤 방법으로도 치유할 수 없으며 피해 시 {0} 확률로 이동 행동이 변합니다,你的替罪羔羊無法治療，受傷時有{0}機率改變運動行為,Ваши козлы отпущения не могут лечиться никаким способом и {0} шанс изменить поведение движения при получении урона,Twoi kozły ofiarni nie mogą się leczyć w żaden sposób i mają {0} szans na zmianę zachowania ruchu po otrzymaniu obrażeń,Tus chivos expiatorios no pueden curarse de ninguna manera y {0} probabilidad de cambiar su comportamiento de movimiento al recibir daño,Seus bodes expiatórios não podem curar de forma alguma e {0} chance de mudar comportamento de movimento ao sofrer dano,Deine Sündenböcke können auf keine Weise heilen und {0} Chance ihr Bewegungsverhalten bei Schaden zu ändern,Kurban keçilerin hiçbir şekilde iyileşemez ve hasar aldıklarında {0} şansla hareket davranışlarını değiştirir,I tuoi capri espiatori non possono curarsi in alcun modo e {0} probabilità di cambiare comportamento di movimento quando subiscono danni
EFFECT_FOXLAB_STATS_ON_SCAPEGOAT_DEATH,{0} {1} when your scapegoat dies,{0} {1} quand votre bouc émissaire meurt,你的替罪羔羊死亡时有{0}{1},身代わりヤギが死亡した時{0}{1},희생양이 죽을 때 {0} {1},你的替罪羔羊死亡時有{0}{1},{0} {1} когда ваш козёл отпущения умирает,{0} {1},{0} {1} cuando tu chivo expiatorio muere,{0} {1} quando seu bode expiatório morre,{0} {1} wenn dein Sündenbock stirbt,Kurban keçin öldüğünde {0} {1},{0} {1} quando il tuo capro espiatorio muore
EFFECT_FOXLAB_GAIN_SCAPEGOAT_NO_HURT,{0} {1} at wave end if any of your scapegoat is intact this wave,{0} {1} à la fin de la vague si l'un de vos boucs émissaires est intact cette vague,敌袭结束时，若你有未受伤的替罪羔羊则{0}{1},ウェーブ終了時、無傷の身代わりヤギがいれば{0}{1},웨이브 종료 시 이번 웨이브에 피해를 입지 않은 희생양이 있으면 {0} {1},敵襲結束時，若你有未受傷的替罪羔羊則{0}{1},{0} {1} в конце волны если хоть один из ваших козлов отпущения не пострадал,{0} {1} na końcu fali,{0} {1} al final de la oleada si alguno de tus chivos expiatorios está intacto esta oleada,{0} {1} no final da onda se algum dos seus bodes expiatórios está intacto nesta onda,{0} {1} am Wellenende wenn einer deiner Sündenböcke diese Welle unversehrt ist,Bu hücum boyunca kurban keçilerinden hiçbiri zarar görmediyse hücum sonunda {0} {1},{0} {1} alla fine dell'onda se uno dei tuoi capri espiatori è intatto questa onda
FOXLAB_MATERIALS_DROPPED,Materials dropped: {0},Matériaux lâchés : {0},掉落的材料：{0},ドロップしたマテリアル：{0},떨어뜨린 재료: {0},掉落的素材：{0},Выпавшие материалы: {0},Upuszczone materiały: {0},Materiales soltados: {0},Materiais dropados: {0},Gefallene Materialien: {0},Düşürülen malzemeler: {0},Materiali lasciati cadere: {0}
FOXLAB_CRATES_DROPPED,Crates dropped: {0},Caisses lâchées : {0},掉落的箱子：{0},ドロップしたクレート：{0},떨어뜨린 상자: {0},掉落的箱子：{0},Выпавшие ящики: {0},Upuszczone skrzynie: {0},Cajas soltadas: {0},Caixas dropadas: {0},Gefallene Kisten: {0},Düşürülen sandıklar: {0},Casse lasciate cadere: {0}
CHARACTER_FOXLAB_STARGAZER,Stargazer,Astronome,观星者,ミシマオコゼ,통구멍,觀星者,Звездочет,Skaber,Soñador,Mira-céu,Himmelsgucker,Yıldız Gözlemcisi,Esule astrale
EFFECT_FOXLAB_STATS_ON_FROZEN_ENEMY_KILL,{0}{1} after killing an object who's [color=#FF8C00]instantaneous speed[/color] < {2},{0}{1} après avoir tué un ennemi dont la [color=#FF8C00]vitesse instantanée[/color] < {2},击杀[color=#FF8C00]瞬时速度[/color]＜{2}的目标有{0}{1},[color=#FF8C00]瞬間速度[/color]＜{2}のターゲットを倒すと{0}{1},[color=#FF8C00]순간 속도[/color] < {2}인 대상을 처치하면 {0} {1},擊殺[color=#FF8C00]瞬時速度[/color]＜{2}的目標有{0}{1},{0} {1} после убийства объекта чья [color=#FF8C00]мгновенная скорость[/color] < {2},{0} {1} po zabiciu celu,{0} {1} tras matar un objetivo cuya [color=#FF8C00]velocidad instantánea[/color] < {2},{0}{1} após matar um objeto cuja [color=#FF8C00]velocidade instantânea[/color] < {2},{0} {1} nach dem Töten eines Objekts dessen [color=#FF8C00]momentane Geschwindigkeit[/color] < {2},[color=#FF8C00]Anlık hızı[/color] < {2} olan bir nesneyi öldürdüğünde {0} {1},{0}{1} dopo aver ucciso un oggetto la cui [color=#FF8C00]velocità istantanea[/color] < {2}
EFFECT_FOXLAB_ITEM_UPGRADE,You choose an item when you level up instead of a stat upgrade,Vous choisissez un objet en montant de niveau au lieu d'une amélioration de stat,升级时不会提升属性，但可选择一个道具,レベルアップ時にステータス上昇の代わりにアイテムを1つ選択する,레벨업 시 스탯이 오르지 않고 대신 아이템을 하나 선택합니다,升級時不會提升屬性，但可選擇一個道具,Вы выбираете предмет при повышении уровня вместо улучшения характеристики,Wybierasz przedmiot przy awansie zamiast ulepszenia statystyki,Eliges un objeto al subir de nivel en vez de una mejora de estadística,Você escolhe um item ao subir de nível em vez de uma melhoria de stat,Du wählst einen Gegenstand beim Aufsteigen anstatt einer Stat-Aufwertung,Seviye atladığında istatistik yükseltmesi yerine bir eşya seçersin,Scegli un oggetto quando sali di livello invece di un potenziamento statistica
